PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,33243760062010033010014592070524,12,X23,"Implement a regime of regular inspection, testing, servicing, maintenance and re-commissioning of the steam plant aimed at improving effectiveness and energy efficiency.",MEDIUM
MEDIUM,37339060032010062415110012000299,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
LONG,37339060032010062415110012000299,1,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
SHORT,37339060032010062415110012000299,1,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,LOW
MEDIUM,37339060032010062415110012000299,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
LONG,37339060032010062415110012000299,2,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,MEDIUM
SHORT,37339060032010062415110012000299,2,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
MEDIUM,37339060032010062415110012000299,3,BF9,Consider introducing orimproving cavity wall insulation.,LOW
SHORT,37339060032010062415110012000299,3,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
LONG,37339060032010062415110012000299,3,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,MEDIUM
SHORT,37339060032010062415110012000299,4,X6,"Ensure natural ventilation flow is operating as designed, i.e. ensure window, vents and grilles are operable and free from obstructions and partitions do not prevent cross flow.",LOW
MEDIUM,37339060032010062415110012000299,4,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
LONG,37339060032010062415110012000299,4,AE3,Consider installing building mounted solar water heating.,MEDIUM
SHORT,37339060032010062415110012000299,5,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
LONG,37339060032010062415110012000299,5,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
SHORT,37339060032010062415110012000299,6,BF1,Consider introducing or improving loft insulation.,LOW
SHORT,37339060032010062415110012000299,7,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,8924091032009011215282086000307,1,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",HIGH
OTHER,8924091032009011215282086000307,1,None,"Adjust central chilled water plant operational parameters, such as floating set-points",HIGH
LONG,8924091032009011215282086000307,1,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,HIGH
MEDIUM,8924091032009011215282086000307,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,HIGH
LONG,8924091032009011215282086000307,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",HIGH
OTHER,8924091032009011215282086000307,2,None,Review operational sequencing of condensing boiler plant - ensure they operate at lower temperatures,MEDIUM
SHORT,8924091032009011215282086000307,2,CON2,Engage experts to review the HVAC control systems settings and propose alterations and/or upgrades and adjust to suit current occupancy patterns.,HIGH
SHORT,8924091032009011215282086000307,3,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,HIGH
LONG,8924091032009011215282086000307,3,AE10,Consider a small scale Tri-Generation system as an alternative to conventional separate boiler and chiller systems.,HIGH
OTHER,8924091032009011215282086000307,3,None,Upgrade car park lighting with high frequency T5 lamps,MEDIUM
LONG,8924091032009011215282086000307,4,AE4,Consider installing building mounted photovoltaic electricity generating panels.,MEDIUM
OTHER,8924091032009011215282086000307,4,None,Install voltage reduction to site incoming electricity supply,HIGH
SHORT,8924091032009011215282086000307,4,V10,Consider with experts whether it would be worthwhile installing variable speed fans and volume control devices to the ventilation system.,HIGH
LONG,8924091032009011215282086000307,5,AE3,Consider installing building mounted solar water heating.,MEDIUM
OTHER,8924091032009011215282086000307,5,None,Control Fridge and Freezer temperature using a sensor reflecting the product temperature rather than an air sensor.,LOW
SHORT,8924091032009011215282086000307,5,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy assessor to undertake an inspection in compliance with the EPC Regulations SI 2007/991 as amended.),MEDIUM
SHORT,8924091032009011215282086000307,6,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,8924091032009011215282086000307,7,X16,Consider a programme of fitting energy meters to lifts an escalators as part of the serving and maintenance regime.,MEDIUM
SHORT,8924091032009011215282086000307,8,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the serving and maintenance regime.,MEDIUM
SHORT,8924091032009011215282086000307,9,CA23,"Ensure catering equipment such as large ovens and dishwashers are utilised at maximum capacity, and/or install smaller capacity appliances to increase operational flexibility.",LOW
SHORT,9524473912009060415401309900310,1,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
LONG,9524473912009060415401309900310,1,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,HIGH
MEDIUM,9524473912009060415401309900310,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,MEDIUM
MEDIUM,9524473912009060415401309900310,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
LONG,9524473912009060415401309900310,2,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
SHORT,9524473912009060415401309900310,2,BF7,Consider adjusting existing or installing new automatic external door closers or adopting revolving door solutions.,LOW
MEDIUM,9524473912009060415401309900310,3,X18,"Consider with experts how the pool complex air tightness can be improved, for example sealed better and fitted with air lock or revolving doors.",HIGH
LONG,9524473912009060415401309900310,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
SHORT,9524473912009060415401309900310,3,X4,Review staffing arrangements and set up formal systems for delegating authority for Building Energy Management System alterations and/or temporary overrides.,MEDIUM
SHORT,9524473912009060415401309900310,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",MEDIUM
LONG,9524473912009060415401309900310,4,AE1,Consider installing building mounted wind turbine(s).,HIGH
MEDIUM,9524473912009060415401309900310,4,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
SHORT,9524473912009060415401309900310,5,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations.),MEDIUM
SHORT,9524473912009060415401309900310,6,V8,Consider whether the humidity control system is essential and/or consider re-setting to more efficient parameters where close control is not critical.,MEDIUM
SHORT,9524473912009060415401309900310,7,V10,Consider with experts whether it would be worthwhile installing variable speed fans and volume control devices to the ventilation system.,MEDIUM
SHORT,9524473912009060415401309900310,8,X10,Engage experts to propose and set up an air conditioning servicing and maintenance regime and implement it.,LOW
SHORT,9524473912009060415401309900310,9,P4,Consider fitting covers to the swimming pool and utilise whenever possible.,HIGH
OTHER,9177470962011101409165337000330,1,None,Encourage children and staff to understand the importance of energy savings and appoint an energy champion.,MEDIUM
LONG,9177470962011101409165337000330,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
MEDIUM,9177470962011101409165337000330,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,MEDIUM
SHORT,9177470962011101409165337000330,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
MEDIUM,9177470962011101409165337000330,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
OTHER,9177470962011101409165337000330,2,None,Install PIR sensors to areas of low occupancy such as toilets.,MEDIUM
LONG,9177470962011101409165337000330,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
SHORT,9177470962011101409165337000330,2,X29,Consider with chefs and kitchen managers how a training programme and monitoring systems with incentives could be implemented.,LOW
MEDIUM,9177470962011101409165337000330,3,BF9,Consider introducing orimproving cavity wall insulation.,MEDIUM
SHORT,9177470962011101409165337000330,3,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",MEDIUM
LONG,9177470962011101409165337000330,3,AE5,Consider heating the building using biomass boiler(s).,HIGH
LONG,9177470962011101409165337000330,4,BF3,Consider replacing or improving glazing.,MEDIUM
MEDIUM,9177470962011101409165337000330,4,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,9177470962011101409165337000330,4,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,9177470962011101409165337000330,5,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
MEDIUM,9177470962011101409165337000330,5,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
LONG,9177470962011101409165337000330,5,BF2,Consider introducing or improving insulation of flat roofs.,MEDIUM
SHORT,9177470962011101409165337000330,6,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
SHORT,9177470962011101409165337000330,7,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,9177470962011101409165337000330,8,CON18,Consider upgrading major time controls to include optimum start/stop.,MEDIUM
SHORT,9177470962011101409165337000330,9,CON15,Consider installing weather compensator controls on heating and cooling systems.,MEDIUM
LONG,11259309252009022010123202900543,1,AE3,Consider installing building mounted solar water heating.,LOW
SHORT,11259309252009022010123202900543,1,CON2,Engage experts to review the HVAC control systems settings and propose alterations and/or upgrades and adjust to suit current occupancy patterns.,MEDIUM
SHORT,11259309252009022010123202900543,2,X25,"Consider introducing a system of regular checks of Heating, Ventilation and Air Conditioning (HVAC) time and temperature settings and provisions to prevent unauthorised adjustment.",MEDIUM
LONG,11259309252009022010123202900543,2,AE4,Consider installing building mounted photovoltaic electricity generating panels.,LOW
LONG,1038904712009030410074808000595,1,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,LOW
MEDIUM,1038904712009030410074808000595,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
SHORT,1038904712009030410074808000595,1,BF6,"Consider how building fabric airtightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",MEDIUM
LONG,1038904712009030410074808000595,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",MEDIUM
SHORT,1038904712009030410074808000595,2,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
MEDIUM,1038904712009030410074808000595,2,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
MEDIUM,1038904712009030410074808000595,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
SHORT,1038904712009030410074808000595,3,X6,"Ensure natural ventilation flow is operating as designed i.e. ensure window, vents and grilles are operable and free from obstructions and partitions do not prevent cross flow.",LOW
LONG,1038904712009030410074808000595,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
LONG,1038904712009030410074808000595,4,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
SHORT,1038904712009030410074808000595,4,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
MEDIUM,1038904712009030410074808000595,4,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
LONG,1038904712009030410074808000595,5,AE3,Consider installing building mounted solar water heating.,HIGH
SHORT,1038904712009030410074808000595,5,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,1038904712009030410074808000595,6,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
MEDIUM,1608950202008110415082710100710,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
LONG,1608950202008110415082710100710,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,HIGH
SHORT,1608950202008110415082710100710,1,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
MEDIUM,1608950202008110415082710100710,2,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,MEDIUM
SHORT,1608950202008110415082710100710,2,BF7,Consider adjusting existing or installing new automatic external door closers or adopting revolving door solutions.,LOW
LONG,1608950202008110415082710100710,2,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
LONG,1608950202008110415082710100710,3,AE3,Consider installing building mounted solar water heating.,HIGH
SHORT,1608950202008110415082710100710,3,BF19,Consider fitting existing air curtains with energy saving controls such as door interlocks and occupancy time switches.,LOW
MEDIUM,1608950202008110415082710100710,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,1608950202008110415082710100710,4,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,1608950202008110415082710100710,4,BF6,"Consider how building fabric airtightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",MEDIUM
LONG,1608950202008110415082710100710,4,AE1,Consider installing building mounted wind turbine(s).,HIGH
LONG,1608950202008110415082710100710,5,BF2,Consider introducing or improving insulation of flat roofs.,HIGH
SHORT,1608950202008110415082710100710,5,BF1,Consider introducing or improving loft insulation.,HIGH
SHORT,1608950202008110415082710100710,6,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
SHORT,1608950202008110415082710100710,7,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,LOW
SHORT,1608950202008110415082710100710,8,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,1608950202008110415082710100710,9,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,1608950202008110415082710100710,10,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",MEDIUM
SHORT,1608950202008110415082710100710,11,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
LONG,3292460742009030410401060510710,1,X1,The current metering provisions do not enable production of a specific and reasonably accurate  Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,MEDIUM
MEDIUM,3292460742009030410401060510710,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
SHORT,3292460742009030410401060510710,1,BF6,"Consider how building fabric airtightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",MEDIUM
MEDIUM,3292460742009030410401060510710,2,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
LONG,3292460742009030410401060510710,2,BF2,Consider introducing or improving insulation of flat roofs.,MEDIUM
SHORT,3292460742009030410401060510710,2,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
SHORT,3292460742009030410401060510710,3,X6,"Ensure natural ventilation flow is operating as designed i.e. ensure window, vents and grilles are operable and free from obstructions and partitions do not prevent cross flow.",LOW
LONG,3292460742009030410401060510710,3,BF3,Consider replacing or improving glazing.,MEDIUM
MEDIUM,3292460742009030410401060510710,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
LONG,3292460742009030410401060510710,4,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,MEDIUM
SHORT,3292460742009030410401060510710,4,X31,Ensure building occupants understand when the various ventilation modes of the mixed mode system are in operation to avoid windows being opened when mechanical cooling is on.,LOW
MEDIUM,3292460742009030410401060510710,4,BF9,Consider introducing/improving cavity wall insulation.,HIGH
MEDIUM,3292460742009030410401060510710,5,BF10,Consider introducing/improving wall insulation (internal lining) to solid single skin structures.,HIGH
SHORT,3292460742009030410401060510710,5,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy assessor to undertake an inspection in compliance with the EPC Regulations SI 2007/991 as amended.),LOW
LONG,3292460742009030410401060510710,5,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",MEDIUM
SHORT,3292460742009030410401060510710,6,X10,Engage experts to propose and set up an air conditioning servicing and maintenance regime and implement it.,LOW
MEDIUM,3292460742009030410401060510710,6,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,3292460742009030410401060510710,7,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,3292460742009030410401060510710,8,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,3292460742009030410401060510710,9,X16,Consider a programme of fitting energy meters to lifts an escalators as part of the serving and maintenance regime.,LOW
SHORT,3292460742009030410401060510710,10,LE1,"Consider engaging experts to review current lift and escalator provisions and propose upgrades, replacements or alternative solutions that improve service effectiveness and energy efficiency.",LOW
SHORT,111365660062017010509181794090720,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
OTHER,111365660062017010509181794090720,1,None,"Consider replacing CFL, halogen lamps with LED equivalents. Payback period will depend on hours of use, technology utilised and cost.",MEDIUM
OTHER,111365660062017010509181794090720,2,None,"Consider replacing T8 fluorescent fittings with LED equivalents.  Also consider installing lamps with integrated daylight/sensor controls. Payback period will depend on hours of use, technology utilised and cost.",MEDIUM
SHORT,111365660062017010509181794090720,2,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
OTHER,111365660062017010509181794090720,3,None,"Consider fitting PIR movement sensors to lighting in toilets, corridors, tea rooms and other low occupancy areas.",LOW
OTHER,111365660062017010509181794090720,4,None,"Add valve insulation jackets to exposed heating/hot water distribution valves within the plant room areas, to reduce heat loss through the distribution pipework and reduce boiler operation.",LOW
OTHER,111365660062017010509181794090720,5,None,Set heating/hot water timer to correct time to ensure heating and hot water is available during occupancy times.,LOW
LONG,8101860962009012116445519900730,1,BF2,Consider introducing or improving insulation of flat roofs.,HIGH
OTHER,8101860962009012116445519900730,1,None,"Consider Empowering some of the children and making them, Environmental Champions. In their appointment they be asked to reduce wasted energy e.g. to turn off lights which are left on, inform the members of staff to turn radiators before opening windows to cool the room etc.",MEDIUM
SHORT,8101860962009012116445519900730,1,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
MEDIUM,8101860962009012116445519900730,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
LONG,8101860962009012116445519900730,2,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,MEDIUM
OTHER,8101860962009012116445519900730,2,None,Consider connecting PIR sensors to some of the lights to automatically switches lights on and off.,MEDIUM
MEDIUM,8101860962009012116445519900730,2,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
SHORT,8101860962009012116445519900730,2,BF7,Consider adjusting existing or installing new automatic external door closers or adopting revolving door solutions.,LOW
MEDIUM,8101860962009012116445519900730,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
LONG,8101860962009012116445519900730,3,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",MEDIUM
SHORT,8101860962009012116445519900730,3,BF19,Consider fitting existing air curtains with energy saving controls such as door interlocks and occupancy time switches.,MEDIUM
MEDIUM,8101860962009012116445519900730,4,BF9,Consider introducing/improving cavity wall insulation.,MEDIUM
LONG,8101860962009012116445519900730,4,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,HIGH
SHORT,8101860962009012116445519900730,4,BF6,"Consider how building fabric airtightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",LOW
LONG,8101860962009012116445519900730,5,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,8101860962009012116445519900730,5,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
SHORT,8101860962009012116445519900730,5,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",HIGH
MEDIUM,8101860962009012116445519900730,6,X30,Consider replacing catering equipment that is old or in poor condition with more energy efficient alternatives.,LOW
SHORT,8101860962009012116445519900730,6,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,8101860962009012116445519900730,7,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
SHORT,8101860962009012116445519900730,8,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,8101860962009012116445519900730,9,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",LOW
SHORT,8101860962009012116445519900730,10,X29,Consider with chefs and kitchen managers how a training programme and monitoring systems with incentives could be implemented.,LOW
SHORT,8101860962009012116445519900730,11,CA23,"Ensure catering equipment such as large ovens and dishwashers are utilised at maximum capacity, and/or install smaller capacity appliances to increase operational flexibility.",MEDIUM
SHORT,8101860962009012116445519900730,12,CA24,Consider installing heat recovery to catering refrigeration condensers in order to aid with HWS generation or to heat room air.,LOW
SHORT,24405960962015021309003307290670,1,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",HIGH
OTHER,24405960962015021309003307290670,1,None,Consider installing PIR sensors to lighting in circulation areas,MEDIUM
SHORT,24405960962015021309003307290670,2,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,HIGH
OTHER,24405960962015021309003307290670,2,None,Install valve jackets to exposed hot water valves and flanges in the plant room,HIGH
SHORT,24405960962015021309003307290670,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,HIGH
LONG,111965680062016051312205007920681,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,HIGH
MEDIUM,111965680062016051312205007920681,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
SHORT,111965680062016051312205007920681,1,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
LONG,111965680062016051312205007920681,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
MEDIUM,111965680062016051312205007920681,2,HS18,Consider installing interlocks between heating systems and loading bay or vehicle access doors.,MEDIUM
SHORT,111965680062016051312205007920681,2,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
LONG,111965680062016051312205007920681,3,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,LOW
MEDIUM,111965680062016051312205007920681,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
LONG,111965680062016051312205007920681,4,BF3,Consider replacing or improving glazing.,MEDIUM
LONG,111965680062016051312205007920681,5,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,55147262032013011410474415900690,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
LONG,55147262032013011410474415900690,1,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,MEDIUM
SHORT,55147262032013011410474415900690,1,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
LONG,55147262032013011410474415900690,2,AE4,Consider installing building mounted photovoltaic electricity generating panels.,LOW
MEDIUM,55147262032013011410474415900690,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
SHORT,55147262032013011410474415900690,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,55147262032013011410474415900690,3,CON15,Consider installing weather compensator controls on heating and cooling systems.,MEDIUM
LONG,55147262032013011410474415900690,3,AE3,Consider installing building mounted solar water heating.,LOW
SHORT,55147262032013011410474415900690,4,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
SHORT,55147262032013011410474415900690,5,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,55147262032013011410474415900690,6,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),LOW
SHORT,55147262032013011410474415900690,7,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,LOW
MEDIUM,27655266032016112918351652900690,1,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,MEDIUM
OTHER,27655266032016112918351652900690,1,None,"Where white boards are used in classroom consider implementation of a programme to ensure they are switched off during long periods such as breaktimes, lunch & overnight.",LOW
SHORT,27655266032016112918351652900690,1,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
LONG,27655266032016112918351652900690,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,HIGH
MEDIUM,27655266032016112918351652900690,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,27655266032016112918351652900690,2,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",HIGH
LONG,27655266032016112918351652900690,2,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
OTHER,27655266032016112918351652900690,2,None,In the event a heating system is considered engage experts to advise on the efficiency of the systems to ensure efficiency isn’t compromised by price.  Some systems could have a cost payback period of less than 12 months against a cheaper system.,HIGH
