PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
long,7946bc61e3ba98d0ce1e03971c81a20037a900b93589df60901afd0ab56dc7f4,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
long,7946bc61e3ba98d0ce1e03971c81a20037a900b93589df60901afd0ab56dc7f4,7,EPC-H6,Add local temperature control to the heating system.,MEDIUM
long,7946bc61e3ba98d0ce1e03971c81a20037a900b93589df60901afd0ab56dc7f4,8,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,7946bc61e3ba98d0ce1e03971c81a20037a900b93589df60901afd0ab56dc7f4,9,EPC-H5,Add local time control to heating system.,LOW
long,7946bc61e3ba98d0ce1e03971c81a20037a900b93589df60901afd0ab56dc7f4,10,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
short,29206c1e6e3562fda8816f5900d7ac6d3c319bb92f368df764d086d8512b0c90,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
short,29206c1e6e3562fda8816f5900d7ac6d3c319bb92f368df764d086d8512b0c90,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
medium,29206c1e6e3562fda8816f5900d7ac6d3c319bb92f368df764d086d8512b0c90,3,EPC-H2,Add time control to heating system.,LOW
long,29206c1e6e3562fda8816f5900d7ac6d3c319bb92f368df764d086d8512b0c90,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,29206c1e6e3562fda8816f5900d7ac6d3c319bb92f368df764d086d8512b0c90,5,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
long,29206c1e6e3562fda8816f5900d7ac6d3c319bb92f368df764d086d8512b0c90,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
long,29206c1e6e3562fda8816f5900d7ac6d3c319bb92f368df764d086d8512b0c90,7,EPC-H8,Add weather compensation controls to heating system.,LOW
long,29206c1e6e3562fda8816f5900d7ac6d3c319bb92f368df764d086d8512b0c90,8,EPC-H5,Add local time control to heating system.,LOW
LONG,98592060912015012111005702009861,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,98592060912015012111005702009861,1,EPC-H2,Add time control to heating system.,LOW
SHORT,98592060912015012111005702009861,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,98592060912015012111005702009861,2,EPC-H6,Add local temperature control to the heating system.,LOW
SHORT,98592060912015012111005702009861,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,98592060912015012111005702009861,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,98592060912015012111005702009861,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,98592060912015012111005702009861,3,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,98592060912015012111005702009861,4,EPC-H5,Add local time control to heating system.,LOW
LONG,98592060912015012111005702009861,5,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,98953260022015020823001898290990,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
MEDIUM,98953260022015020823001898290990,1,EPC-H2,Add time control to heating system.,LOW
SHORT,98953260022015020823001898290990,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,98953260022015020823001898290990,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
SHORT,98953260022015020823001898290990,2,EPC-W1,Install more efficient water heater.,MEDIUM
SHORT,98953260022015020823001898290990,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,98953260022015020823001898290990,3,EPC-H6,Add local temperature control to the heating system.,LOW
SHORT,98953260022015020823001898290990,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,98953260022015020823001898290990,4,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,98953260022015020823001898290990,5,EPC-W2,Consider replacing HWS with point of use system.,MEDIUM
LONG,98953260022015020823001898290990,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,99208600842015030313535110600920,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,99208600842015030313535110600920,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,99208600842015030313535110600920,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,99208600842015030313535110600920,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,99208600842015030313535110600920,3,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,99208600842015030313535110600920,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,99208600842015030313535110600920,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,99208600842015030313535110600920,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,9713012212009012912002707000994,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,MEDIUM
OTHER,9713012212009012912002707000994,1,EPC-H2,Add time control to heating system.,LOW
LONG,9713012212009012912002707000994,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
SHORT,9713012212009012912002707000994,2,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
LONG,9713012212009012912002707000994,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,LOW
LONG,9713012212009012912002707000994,3,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,LOW
SHORT,9713012212009012912002707000994,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
LONG,9713012212009012912002707000994,4,EPC-W2,Consider replacing HWS with point of use system.,LOW
SHORT,9713012212009012912002707000994,4,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,9713012212009012912002707000994,5,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
OTHER,97194055252014112615105606909123,1,USER,Consider installation of appropriate renewable energy generating technologies,LOW
MEDIUM,96662020022017062614555473260760,1,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
SHORT,96662020022017062614555473260760,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,96662020022017062614555473260760,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
LONG,96662020022017062614555473260760,2,EPC-R4,Consider installing PV.,LOW
MEDIUM,96662020022017062614555473260760,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,96662020022017062614555473260760,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
SHORT,96662020022017062614555473260760,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
short,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
short,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
short,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,3,EPC-H2,Add time control to heating system.,MEDIUM
medium,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
medium,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,5,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
long,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
long,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,7,EPC-H6,Add local temperature control to the heating system.,MEDIUM
long,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,8,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,9,EPC-H5,Add local time control to heating system.,MEDIUM
long,736b2552578a419272e6aaaf532ed17132bdc57c5c348dcfeac14fb3094a60b7,10,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
OTHER,98011820952014123010501802909665,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
LONG,98011820952014123010501802909665,1,EPC-R3,Consider installing solar water heating.,LOW
OTHER,98011820952014123010501802909665,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,98011820952014123010501802909665,2,EPC-R4,Consider installing PV.,LOW
LONG,98011820952014123010501802909665,3,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,98011820952014123010501802909665,4,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,98011820952014123010501802909665,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,98102589252017100515002607009957,1,EPC-R4,Consider installing PV.,LOW
SHORT,98102589252017100515002607009957,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,98102589252017100515002607009957,2,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,LOW
SHORT,98102589252017100515002607009957,2,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
short,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
short,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,2,EPC-H2,Add time control to heating system.,LOW
medium,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
medium,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
medium,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,5,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
medium,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
medium,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,7,EPC-H6,Add local temperature control to the heating system.,MEDIUM
medium,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,8,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,9,EPC-H5,Add local time control to heating system.,LOW
long,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,10,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
long,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,11,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,12,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
long,16f69d12c1bee90d45f204332e33a68fca0d6cb23f15d0ee47bcb860db5224cf,13,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
short,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
short,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
short,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,3,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
long,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,4,EPC-R3,Consider installing solar water heating.,LOW
long,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,5,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
long,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,7,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
long,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,8,EPC-R4,Consider installing PV.,LOW
other,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,9,USER,Default efficiency values have been used for the retail area air conditioning system. Consider further investigation and possible upgrade of this R22 system.,MEDIUM
other,65f469db9712b5743b406ce843f13595491afc7b6912773e854ec4e933522ccc,10,USER,"Various heaters and air conditioning systems present. Consider adding time, local temperature and optimum stop/start control where not already present.",LOW
SHORT,99919560062015031407322394970970,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,99919560062015031407322394970970,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
OTHER,99919560062015031407322394970970,1,USER,Consider replacing T8 lamps with retrofit LED conversion kits,MEDIUM
LONG,99919560062015031407322394970970,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,99919560062015031407322394970970,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,99919560062015031407322394970970,3,EPC-R3,Consider installing solar water heating.,LOW
LONG,99919560062015031407322394970970,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,99919560062015031407322394970970,5,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
short,5d4a89dd26d6f26660099b0bedd6f9517f1314f6fae0197a80d31e2346553bac,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
short,5d4a89dd26d6f26660099b0bedd6f9517f1314f6fae0197a80d31e2346553bac,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
short,5d4a89dd26d6f26660099b0bedd6f9517f1314f6fae0197a80d31e2346553bac,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
medium,5d4a89dd26d6f26660099b0bedd6f9517f1314f6fae0197a80d31e2346553bac,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
medium,5d4a89dd26d6f26660099b0bedd6f9517f1314f6fae0197a80d31e2346553bac,5,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
long,5d4a89dd26d6f26660099b0bedd6f9517f1314f6fae0197a80d31e2346553bac,6,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
long,5d4a89dd26d6f26660099b0bedd6f9517f1314f6fae0197a80d31e2346553bac,7,EPC-R5,Consider installing an air source heat pump.,HIGH
long,5d4a89dd26d6f26660099b0bedd6f9517f1314f6fae0197a80d31e2346553bac,8,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
short,cb315045c7d3b3060808bd21835770b617f2131b1b8c1a6222d79dac147c2002,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
medium,cb315045c7d3b3060808bd21835770b617f2131b1b8c1a6222d79dac147c2002,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
medium,cb315045c7d3b3060808bd21835770b617f2131b1b8c1a6222d79dac147c2002,3,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
long,cb315045c7d3b3060808bd21835770b617f2131b1b8c1a6222d79dac147c2002,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
long,cb315045c7d3b3060808bd21835770b617f2131b1b8c1a6222d79dac147c2002,5,EPC-R5,Consider installing an air source heat pump.,HIGH
long,cb315045c7d3b3060808bd21835770b617f2131b1b8c1a6222d79dac147c2002,6,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
long,7bc77d3464b239705587d9d70a305b73b6427f2450305e1881a5f2b825545767,1,EPC-R4,Consider installing PV.,LOW
long,7bc77d3464b239705587d9d70a305b73b6427f2450305e1881a5f2b825545767,2,EPC-H7,Add optimum start/stop to the heating system.,LOW
long,7bc77d3464b239705587d9d70a305b73b6427f2450305e1881a5f2b825545767,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
long,7bc77d3464b239705587d9d70a305b73b6427f2450305e1881a5f2b825545767,4,EPC-H8,Add weather compensation controls to heating system.,LOW
long,7bc77d3464b239705587d9d70a305b73b6427f2450305e1881a5f2b825545767,5,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,LOW
other,7bc77d3464b239705587d9d70a305b73b6427f2450305e1881a5f2b825545767,6,USER,Consider replacing T8 and compact fluorescent lamps with LED lamps,LOW
short,caf53617947d18f094a44079e57ab57dc74e5a38afe8c46d1caf5c9db1a30e89,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
long,caf53617947d18f094a44079e57ab57dc74e5a38afe8c46d1caf5c9db1a30e89,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,caf53617947d18f094a44079e57ab57dc74e5a38afe8c46d1caf5c9db1a30e89,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
long,caf53617947d18f094a44079e57ab57dc74e5a38afe8c46d1caf5c9db1a30e89,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
long,caf53617947d18f094a44079e57ab57dc74e5a38afe8c46d1caf5c9db1a30e89,5,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,caf53617947d18f094a44079e57ab57dc74e5a38afe8c46d1caf5c9db1a30e89,6,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
other,caf53617947d18f094a44079e57ab57dc74e5a38afe8c46d1caf5c9db1a30e89,7,USER,Consider replacing T8 fluorescent lamps with LED lamps,LOW
short,1948355cc861631829990dcd4ab7a767c068b9b54c9bc9b67fd9c87476187ee0,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
long,1948355cc861631829990dcd4ab7a767c068b9b54c9bc9b67fd9c87476187ee0,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
long,1948355cc861631829990dcd4ab7a767c068b9b54c9bc9b67fd9c87476187ee0,3,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
long,1948355cc861631829990dcd4ab7a767c068b9b54c9bc9b67fd9c87476187ee0,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
long,1948355cc861631829990dcd4ab7a767c068b9b54c9bc9b67fd9c87476187ee0,5,EPC-R5,Consider installing an air source heat pump.,HIGH
short,edc62c3cb59c2e42b417eb466baad856c48dafbc2c5f5db35aeabf489d014da4,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
long,edc62c3cb59c2e42b417eb466baad856c48dafbc2c5f5db35aeabf489d014da4,2,EPC-R3,Consider installing solar water heating.,LOW
long,edc62c3cb59c2e42b417eb466baad856c48dafbc2c5f5db35aeabf489d014da4,3,EPC-R4,Consider installing PV.,LOW
long,edc62c3cb59c2e42b417eb466baad856c48dafbc2c5f5db35aeabf489d014da4,4,EPC-H2,Add time control to heating system.,LOW
long,edc62c3cb59c2e42b417eb466baad856c48dafbc2c5f5db35aeabf489d014da4,5,EPC-H7,Add optimum start/stop to the heating system.,LOW
long,edc62c3cb59c2e42b417eb466baad856c48dafbc2c5f5db35aeabf489d014da4,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
short,a5ac7505ec1c00c558cad1b0d3a4196f22b9fc26ec573a5b58d671944da9cd10,1,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,LOW
short,03b28ae27326a78dab0bcca00ccf91d4ab430780da7f5a26a117831cd2f4b1b6,1,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,LOW
short,f070440ab58a7e731d875dc49354a540a5b5c10bcfa9b3b60bec95adc436a163,1,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,LOW
short,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,1,EPC-W1,Install more efficient water heater.,MEDIUM
short,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,2,EPC-H2,Add time control to heating system.,MEDIUM
short,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
short,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
short,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
short,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,6,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
medium,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,7,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
medium,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,8,EPC-H6,Add local temperature control to the heating system.,MEDIUM
medium,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,9,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
medium,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,10,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
medium,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,11,EPC-H5,Add local time control to heating system.,LOW
medium,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,12,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
medium,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,13,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,14,EPC-R5,Consider installing an air source heat pump.,HIGH
long,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,15,EPC-R1,Consider installing a ground source heat pump.,HIGH
long,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,16,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,17,EPC-R3,Consider installing solar water heating.,LOW
long,17ac5f246271228a16586df34bbbb2d3e7aa4c6fd017e28b22352482d7c9fb76,18,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
short,49a3f1969ee3f0154c644a95bcc9c5c5ca552799248c4dc72a1bd479fc9d9a10,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
long,49a3f1969ee3f0154c644a95bcc9c5c5ca552799248c4dc72a1bd479fc9d9a10,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,49a3f1969ee3f0154c644a95bcc9c5c5ca552799248c4dc72a1bd479fc9d9a10,3,EPC-R3,Consider installing solar water heating.,LOW
long,49a3f1969ee3f0154c644a95bcc9c5c5ca552799248c4dc72a1bd479fc9d9a10,4,EPC-R4,Consider installing PV.,LOW
long,49a3f1969ee3f0154c644a95bcc9c5c5ca552799248c4dc72a1bd479fc9d9a10,5,EPC-H2,Add time control to heating system.,LOW
long,49a3f1969ee3f0154c644a95bcc9c5c5ca552799248c4dc72a1bd479fc9d9a10,6,EPC-H7,Add optimum start/stop to the heating system.,LOW
short,5b5cf0fa4fabcaad775c38a89239aa87880448d536f453df94dffe7009e01c02,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
short,5b5cf0fa4fabcaad775c38a89239aa87880448d536f453df94dffe7009e01c02,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
short,5b5cf0fa4fabcaad775c38a89239aa87880448d536f453df94dffe7009e01c02,3,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
medium,5b5cf0fa4fabcaad775c38a89239aa87880448d536f453df94dffe7009e01c02,4,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,5b5cf0fa4fabcaad775c38a89239aa87880448d536f453df94dffe7009e01c02,5,EPC-H7,Add optimum start/stop to the heating system.,LOW
long,5b5cf0fa4fabcaad775c38a89239aa87880448d536f453df94dffe7009e01c02,6,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,5b5cf0fa4fabcaad775c38a89239aa87880448d536f453df94dffe7009e01c02,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
long,5b5cf0fa4fabcaad775c38a89239aa87880448d536f453df94dffe7009e01c02,8,EPC-H8,Add weather compensation controls to heating system.,LOW
long,5b5cf0fa4fabcaad775c38a89239aa87880448d536f453df94dffe7009e01c02,9,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
